Location\Items,Grappling Hook,Progressive Picto Box,Iron Boots,Empty Bottle,Bait Bag,Delivery Bag,Boomerang,Progressive Bow,Hookshot,Deku Leaf,Bombs,Skull Hammer,Command Melody,Triforce Shard 1,Triforce Shard 2,Triforce Shard 3,Triforce Shard 4,Triforce Shard 5,Triforce Shard 6,Triforce Shard 7,Triforce Shard 8,Dragon Tingle Statue,Forbidden Tingle Statue,Goddess Tingle Statue,Earth Tingle Statue,Wind Tingle Statue,Din's Pearl,Farore's Pearl,Nayru's Pearl,Progressive Sword,Progressive Shield,Power Bracelets,DRC Small Key,DRC Big Key,FW Small Key,FW Big Key,TotG Small Key,TotG Big Key,ET Small Key,ET Big Key,WT Small Key,WT Big Key,Maggie's Letter,Moblin's Letter,Note to Mom,Cabana Deed,Ghost Ship Chart,Progressive Wallet,Progressive Magic Meter,Spoils Bag,Progressive Quiver,Treasure Chart 1,Treasure Chart 2,Treasure Chart 3,Treasure Chart 4,Treasure Chart 5,Treasure Chart 6,Treasure Chart 7,Treasure Chart 8,Treasure Chart 9,Treasure Chart 10,Treasure Chart 11,Treasure Chart 12,Treasure Chart 13,Treasure Chart 14,Treasure Chart 15,Treasure Chart 16,Treasure Chart 17,Treasure Chart 18,Treasure Chart 19,Treasure Chart 20,Treasure Chart 21,Treasure Chart 22,Treasure Chart 23,Treasure Chart 24,Treasure Chart 25,Treasure Chart 26,Treasure Chart 27,Treasure Chart 28,Treasure Chart 29,Treasure Chart 30,Treasure Chart 31,Treasure Chart 32,Treasure Chart 33,Treasure Chart 34,Treasure Chart 35,Treasure Chart 36,Treasure Chart 37,Treasure Chart 38,Treasure Chart 39,Treasure Chart 40,Treasure Chart 41,Triforce Chart 1,Triforce Chart 2,Triforce Chart 3,Triforce Chart 4,Triforce Chart 5,Triforce Chart 6,Triforce Chart 7,Triforce Chart 8,Tingle Tuner,Magic Armor,Piece of Heart,Heart Container,Hero's Charm,Progressive Bomb Bag,Red Chu Jelly,Green Chu Jelly,Joy Pendant,Golden Feather,Boko Baba Seed,Skull Necklace,Knight's Crest,All-Purpose Bait,Hyoi Pear,Fill-Up Coupon,Beedle's Chart,Great Fairy Chart,Light Ring Chart,Octo Chart,Platform Chart,Secret Cave Chart,Submarine Chart,Tingle's Chart,Green Rupee,Blue Rupee,Yellow Rupee,Red Rupee,Purple Rupee,Orange Rupee,Silver Rupee,Rainbow Rupee,Hurricane Spin
Forbidden Woods - Climb to Top Using Boko Baba Bulbs,0,63,28,116,20,28,25,102,13,0,23,18,37,31,25,38,35,29,40,36,33,20,15,15,20,16,20,21,24,114,86,24,0,0,876,700,0,0,0,0,0,0,16,33,21,20,29,63,67,36,69,36,32,20,35,30,30,30,37,30,33,18,44,22,31,35,33,29,43,32,32,29,33,26,29,30,30,26,28,47,31,33,25,33,32,36,31,34,23,31,28,28,23,35,33,25,23,31,33,30,22,35,1368,185,32,61,41,34,332,333,50,358,137,40,148,32,29,36,28,32,33,32,32,29,38,75,89,192,388,555,580,40,31
Forbidden Woods - Pot High Above Hollow Tree,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,43,97,52,44,50,34,39,54,43,32,50,48,48,45,48,52,48,37,40,43,46,54,58,49,45,46,41,37,47,35,36,37,45,42,47,38,40,47,47,47,40,45,40,50,40,42,35,56,39,49,43,51,40,1953,247,56,98,72,51,461,461,48,472,167,57,207,42,42,38,43,41,45,47,42,43,67,90,150,271,501,798,765,51,39
Forbidden Woods - Hole in Tree,0,60,28,124,23,19,35,105,24,0,31,28,25,28,33,33,37,38,33,32,38,24,14,18,6,19,19,19,12,117,84,26,0,0,838,713,0,0,0,0,0,0,21,27,17,25,27,65,56,36,46,36,29,24,27,34,38,33,39,42,31,22,36,33,24,24,21,37,30,39,45,42,30,31,39,36,36,30,36,33,25,25,31,31,39,33,40,30,39,35,26,37,28,32,23,36,30,23,30,31,22,45,1376,188,25,68,40,38,358,350,39,324,104,38,151,30,27,36,24,41,31,35,29,36,39,62,116,211,353,548,555,44,33
Forbidden Woods - Morth Pit,0,58,27,113,23,19,29,125,30,0,28,20,28,41,36,24,33,28,18,31,40,18,23,16,25,9,17,15,14,132,67,24,0,0,902,686,0,0,0,0,0,0,25,26,27,33,17,77,64,31,60,26,23,27,37,45,32,29,26,38,28,32,31,33,29,28,21,30,33,37,27,35,44,26,31,37,29,22,31,25,38,24,22,34,28,24,29,31,32,29,30,23,39,31,41,34,30,30,32,33,46,24,1358,185,34,55,39,43,358,288,45,341,108,37,151,25,33,35,32,35,44,36,45,20,46,71,113,213,396,549,554,37,39
Forbidden Woods - Vine Maze Left Chest,0,60,29,136,24,36,28,121,28,0,21,26,26,40,36,33,34,29,24,30,33,17,15,16,19,14,19,23,17,114,72,14,0,0,901,698,0,0,0,0,0,0,20,20,13,23,22,61,64,29,59,30,41,24,30,36,40,21,33,40,39,34,34,37,31,25,33,38,29,31,24,34,28,33,29,39,28,36,24,25,37,37,24,24,29,28,27,27,25,32,34,33,31,36,39,30,29,27,32,43,41,29,1411,183,33,52,33,37,299,351,29,354,113,33,167,34,36,31,21,22,31,32,34,41,40,71,117,177,384,528,587,24,31
Forbidden Woods - Vine Maze Right Chest,0,54,33,119,14,26,20,126,17,0,27,36,33,35,45,25,31,38,27,38,34,14,14,18,17,15,14,10,19,120,66,26,0,0,921,702,0,0,0,0,0,0,27,18,22,29,23,50,55,35,70,35,26,37,29,27,40,23,41,30,36,27,31,23,32,37,34,24,30,36,32,28,40,32,40,38,45,38,24,19,35,38,27,37,24,32,39,37,36,30,21,40,29,39,34,28,36,26,30,22,37,38,1380,181,29,57,29,29,351,333,41,331,106,44,141,25,27,29,33,26,33,31,28,29,41,83,108,194,374,581,535,32,27
Forbidden Woods - Highest Pot in Vine Maze,0,0,0,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,56,85,43,33,48,43,48,50,42,42,45,41,43,46,37,46,40,34,56,49,40,39,56,46,38,52,34,46,55,27,48,38,29,48,54,39,45,48,34,41,44,33,48,35,41,37,50,49,53,29,44,38,34,1921,262,53,89,46,49,506,454,58,469,159,47,215,46,39,39,42,51,41,54,49,42,40,111,162,271,502,805,796,48,39
Forbidden Woods - Tall Room Before Miniboss,0,62,23,146,34,30,32,128,21,0,35,25,22,48,34,39,37,38,45,33,27,23,15,14,18,13,18,26,19,119,81,29,0,0,0,771,0,0,0,0,0,0,24,20,27,30,25,70,82,30,59,38,27,35,42,38,37,30,32,33,33,38,25,29,33,32,31,42,31,32,31,45,30,40,24,41,31,36,38,43,43,33,31,21,23,28,37,36,39,25,35,30,30,39,26,41,37,34,32,28,50,32,1515,199,33,64,46,28,376,363,51,388,127,56,162,39,29,33,30,28,27,37,33,26,48,80,116,207,438,631,617,38,36
Forbidden Woods - Mothula Miniboss Room,0,71,27,128,27,27,19,126,32,0,27,30,32,26,38,44,40,46,41,31,43,21,24,18,18,11,15,15,10,134,80,27,0,0,0,754,0,0,0,0,0,0,22,26,20,31,23,56,50,36,75,34,35,35,30,32,35,37,29,45,34,28,33,35,39,31,32,36,37,21,24,29,41,34,26,27,45,28,36,30,29,32,38,44,35,33,43,33,36,32,40,24,38,42,32,41,39,27,37,33,32,39,1542,226,33,73,41,42,368,386,33,376,138,39,181,32,30,33,25,35,29,42,31,31,37,98,124,204,402,620,602,49,40
Forbidden Woods - Past Seeds Hanging by Vines,0,73,29,134,31,28,11,144,30,0,27,22,27,42,38,36,38,39,46,28,46,17,18,12,13,12,20,20,16,145,73,18,0,0,0,773,0,0,0,0,0,0,36,25,29,22,17,71,78,37,55,48,36,33,39,34,36,36,32,36,36,31,27,42,43,26,31,37,33,36,32,26,29,36,32,44,33,20,35,30,33,36,28,33,25,37,34,32,29,36,38,40,39,39,28,25,36,40,32,34,31,34,1550,182,36,70,35,33,391,395,47,408,132,45,145,27,34,34,41,35,22,37,38,36,26,74,127,205,406,598,618,38,31
Forbidden Woods - Chest Across Red Hanging Flower,0,54,20,124,17,21,0,132,28,0,23,32,24,28,39,38,40,38,31,43,35,17,8,23,11,14,14,14,16,139,65,21,0,0,926,746,0,0,0,0,0,0,17,17,27,29,22,56,54,33,69,35,35,41,33,38,32,24,36,29,20,24,28,26,38,24,33,41,25,32,34,34,25,33,32,30,29,38,22,34,28,29,30,37,39,28,40,36,37,27,41,33,28,32,27,25,29,40,40,33,34,40,1333,164,37,46,37,43,341,362,32,344,103,32,149,42,26,29,40,32,26,29,35,23,41,68,128,170,398,559,518,38,32
Forbidden Woods - Tingle Statue Chest,0,0,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,51,86,48,36,42,43,42,49,37,49,41,48,47,39,39,39,44,51,38,44,49,41,45,41,55,39,50,38,39,50,46,46,37,42,41,42,57,31,38,39,57,48,50,50,45,54,42,40,42,42,47,46,38,1935,250,50,96,60,61,445,458,49,462,156,71,229,39,40,34,43,42,41,41,46,38,51,99,173,267,531,743,802,38,46
Forbidden Woods - Chest in Locked Tree Trunk,0,59,22,116,27,15,0,132,22,0,21,24,23,28,30,33,31,40,42,28,40,14,10,10,15,21,7,14,12,127,74,21,0,0,945,657,0,0,0,0,0,0,18,26,21,15,18,42,50,27,57,35,28,30,46,25,36,26,40,31,33,27,36,28,33,38,30,29,37,23,33,30,33,34,29,29,31,34,32,28,21,26,35,31,39,26,30,32,31,38,29,35,33,39,27,35,28,36,33,34,33,29,1380,198,31,63,39,49,361,347,40,333,112,44,131,33,28,37,30,37,35,34,34,28,22,81,127,186,378,566,591,31,36
Forbidden Woods - Big Key Chest,0,63,22,122,25,19,0,124,15,0,20,27,17,41,38,46,42,49,28,24,42,9,18,11,15,7,12,16,11,122,67,34,0,0,879,707,0,0,0,0,0,0,21,20,23,29,23,50,49,30,76,37,33,25,43,40,34,27,35,31,30,42,25,21,32,35,26,32,25,31,35,45,36,26,31,27,40,32,33,42,35,37,23,32,32,42,29,34,31,39,25,42,30,28,30,37,36,31,42,24,33,36,1393,172,17,52,38,37,313,336,41,346,107,31,153,48,27,26,24,37,36,29,22,36,42,78,104,178,422,539,571,32,41
Forbidden Woods - Double Mothula Room,0,58,23,121,21,22,27,111,21,0,31,33,22,30,26,39,44,42,35,37,36,6,26,14,22,17,15,29,15,109,67,24,0,0,944,710,0,0,0,0,0,0,21,20,20,28,19,57,72,29,69,26,31,38,36,33,34,26,27,24,26,31,25,33,35,34,35,26,30,44,22,31,32,28,28,22,37,33,19,27,40,42,28,33,32,31,29,36,31,33,24,23,25,26,32,31,32,24,38,23,36,19,1365,159,23,70,36,38,320,331,34,334,102,39,151,32,34,39,27,31,43,34,35,23,34,84,119,172,383,607,586,30,32
Forbidden Woods - Kalle Demos Heart Container,0,0,0,62,0,0,0,0,0,0,0,0,0,653,653,589,629,653,621,618,597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,15,50,25,23,22,32,26,16,21,23,22,19,36,28,27,22,18,27,18,20,22,23,24,19,29,28,22,21,17,30,27,25,20,21,17,13,17,19,22,25,20,23,23,28,25,32,19,26,22,16,29,21,19,991,105,24,49,23,29,216,242,24,223,71,21,93,25,23,16,19,23,19,21,23,26,17,55,84,126,261,373,383,35,26
Greatfish Isle - Hidden Chest,95,219,97,156,105,81,69,284,77,0,95,94,106,59,73,77,65,78,61,72,72,54,57,63,51,63,45,60,42,321,205,104,0,0,0,0,0,0,0,0,0,0,88,80,79,90,79,101,209,33,52,27,32,19,40,26,29,31,26,31,25,34,30,38,28,21,24,42,23,27,19,26,27,27,20,24,31,21,31,24,26,29,21,22,30,29,26,24,33,30,25,22,21,26,21,32,30,31,32,29,28,27,1182,152,27,67,34,29,300,295,27,283,89,25,135,23,25,33,29,31,27,34,23,33,32,73,101,169,357,490,496,35,36
Greatfish Isle - Sunken Treasure,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,28,44,22,22,26,18,26,32,25,37,28,20,25,31,36,35,21,24,26,26,32,16,19,30,32,24,23,32,27,24,29,25,35,29,26,26,25,26,24,31,20,19,26,0,27,24,29,27,26,29,27,24,32,1188,162,20,60,0,0,529,0,0,0,0,0,0,32,25,27,28,15,24,37,31,22,0,0,538,1275,1814,2638,0,0,25
Tower of the Gods - Chest Behind Bombable Walls,35,75,25,94,37,27,24,110,29,37,0,23,29,21,34,21,16,19,24,23,22,18,25,18,17,19,0,0,0,100,67,30,0,0,0,0,2829,747,0,0,0,0,25,28,24,24,28,55,87,25,50,14,20,34,19,28,24,15,21,23,35,27,13,26,29,21,14,29,19,20,25,24,25,21,28,17,30,17,21,13,30,21,19,17,16,27,24,19,28,24,24,16,20,16,30,31,24,19,19,19,17,23,1012,127,29,51,32,31,243,217,20,286,80,29,108,22,23,24,33,31,23,19,22,23,30,43,75,127,268,413,436,23,24
Tower of the Gods - Hop Across Floating Boxes,49,81,41,126,45,39,49,122,50,34,60,41,44,22,13,22,24,16,14,23,13,26,29,33,34,31,0,0,0,113,83,49,0,0,0,0,2803,717,0,0,0,0,33,43,33,39,42,61,81,28,46,17,21,26,24,24,27,20,26,16,26,20,19,26,15,16,24,20,16,18,30,29,21,24,19,20,30,20,21,20,18,21,27,19,20,29,18,30,29,11,15,20,18,16,24,20,19,18,18,32,21,15,940,142,26,36,31,31,208,211,24,254,71,27,94,28,18,23,19,19,31,25,13,28,15,38,75,123,269,433,358,20,25
Tower of the Gods - Light Two Torches,30,69,45,94,20,29,21,97,23,34,0,30,26,19,22,27,28,30,18,24,21,15,25,27,15,10,0,0,0,114,82,23,0,0,0,0,2812,723,0,0,0,0,39,29,26,30,31,47,77,20,47,32,19,19,26,20,28,21,24,18,23,23,23,21,24,32,21,17,17,30,18,19,19,21,20,17,18,27,20,22,27,30,26,26,14,22,17,28,27,15,25,20,24,18,25,22,22,20,17,24,28,18,1061,144,30,51,38,34,233,253,28,243,86,26,117,24,23,24,20,30,24,21,25,17,23,45,85,136,271,403,415,22,15
Tower of the Gods - Skulls Room Chest,35,49,32,109,30,24,28,98,35,28,0,33,27,17,28,20,24,29,21,22,22,23,14,25,25,18,0,0,0,113,67,33,0,0,0,0,2805,699,0,0,0,0,31,34,25,32,29,55,74,25,40,22,22,29,17,23,29,17,26,24,21,26,22,26,31,21,19,16,22,15,32,27,23,24,23,25,23,17,22,39,18,17,22,22,24,24,20,23,21,20,25,23,30,26,28,30,18,20,22,25,22,17,1009,145,26,46,25,35,249,238,29,230,83,30,114,21,16,20,23,23,29,17,27,34,28,54,84,150,284,430,411,19,13
Tower of the Gods - Shoot Eye Above Skulls Room Chest,24,67,15,85,19,28,26,137,25,34,0,18,26,32,29,25,23,23,24,21,24,16,13,13,16,11,0,0,0,123,77,16,0,0,0,0,2862,701,0,0,0,0,32,27,24,32,21,47,54,22,43,28,20,32,25,30,28,21,29,22,27,25,18,23,33,23,19,26,28,23,27,29,21,31,27,22,20,16,23,17,21,20,24,26,19,22,14,24,11,29,28,26,20,20,17,20,20,26,17,29,21,21,1061,137,19,46,22,22,247,256,25,247,85,30,107,23,28,23,20,22,22,19,22,27,34,53,83,140,279,400,414,21,23
Tower of the Gods - Tingle Statue Chest,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,52,100,40,48,30,41,46,44,38,37,44,36,38,54,54,38,50,48,37,36,47,45,31,44,43,44,47,41,44,52,44,41,38,57,32,33,30,43,40,42,37,54,47,43,51,47,50,45,46,46,53,44,40,1884,253,47,87,49,61,492,445,50,435,157,42,218,35,56,54,36,44,51,35,50,61,55,110,165,260,521,800,790,63,60
Tower of the Gods - First Chest Guarded by Armos Knights,29,77,32,104,26,37,38,180,39,35,0,29,31,23,32,20,27,26,37,24,44,18,21,16,19,20,0,0,0,143,79,35,0,0,0,0,994,870,0,0,0,0,26,43,34,33,30,57,91,24,59,25,27,29,26,25,30,21,29,26,30,35,33,30,28,27,31,33,27,28,29,20,42,27,33,24,27,30,30,26,34,28,31,31,43,30,35,29,32,28,34,30,24,41,24,35,32,32,27,39,25,32,1315,203,25,58,34,33,310,314,34,304,112,34,140,32,32,34,25,36,24,29,23,28,39,68,113,166,343,504,502,33,27
Tower of the Gods - Stone Tablet,31,81,46,129,33,40,42,138,42,28,0,35,34,31,34,28,42,27,34,32,24,21,19,17,24,28,0,0,0,137,82,24,0,0,0,0,977,939,0,0,0,0,39,39,42,31,34,45,77,32,62,36,25,30,22,31,29,17,30,35,32,36,24,28,27,33,29,33,30,31,20,22,37,31,32,26,29,40,31,35,32,31,33,24,37,26,26,31,27,36,43,24,22,29,25,29,34,19,26,39,21,20,1235,183,27,51,38,43,276,325,34,299,119,39,129,22,36,26,17,29,28,35,26,34,26,77,132,169,333,568,488,32,29
Tower of the Gods - Darknut Miniboss Room,26,75,35,139,39,43,33,189,24,28,0,41,23,26,23,33,40,35,36,47,27,19,20,11,21,23,0,0,0,163,77,43,0,0,0,0,953,855,0,0,0,0,22,39,30,33,37,61,110,20,52,25,32,25,31,26,35,29,33,35,30,36,32,31,25,32,29,36,23,26,30,38,31,30,25,35,38,24,33,30,23,32,25,30,26,31,39,23,26,34,29,24,38,29,31,26,18,32,26,33,26,20,1251,184,30,48,40,36,284,317,32,345,111,29,139,22,26,30,32,30,29,26,28,28,31,77,97,170,356,495,553,37,30
Tower of the Gods - Second Chest Guarded by Armos Knights,34,92,39,118,45,39,41,133,26,37,0,53,36,34,32,34,31,28,21,39,37,26,28,25,25,26,0,0,0,126,93,28,0,0,0,0,955,883,0,0,0,0,45,28,30,36,28,61,91,25,63,22,34,24,23,22,26,26,30,33,26,29,22,35,23,27,31,18,25,26,26,26,38,30,23,28,32,22,29,20,28,27,27,30,26,22,31,19,28,33,23,25,30,29,26,22,15,32,24,37,29,20,1307,189,29,56,44,33,306,299,30,306,99,47,140,28,35,35,29,40,29,28,23,37,36,88,104,183,368,519,530,47,26
Tower of the Gods - Floating Platforms Room,41,86,29,114,33,26,31,136,32,37,0,35,39,30,41,36,22,41,29,33,41,16,11,18,17,13,0,0,0,156,69,20,0,0,0,0,996,925,0,0,0,0,31,19,38,26,25,68,83,22,56,26,32,18,21,35,33,27,26,36,26,31,31,31,27,34,27,19,27,31,35,36,31,25,27,34,28,33,26,32,29,18,28,34,35,27,37,32,39,39,20,32,34,34,24,29,32,31,30,30,34,37,1264,176,27,68,34,38,294,315,24,325,91,31,132,40,21,39,26,24,24,37,29,24,36,69,111,193,352,527,506,41,31
Tower of the Gods - Top of Floating Platforms Room,28,88,33,136,36,38,31,165,31,31,0,34,36,27,32,26,32,29,19,31,29,21,12,17,20,14,0,0,0,146,81,30,0,0,0,0,1014,951,0,0,0,0,35,27,22,29,16,53,92,28,66,27,33,32,26,25,30,34,26,28,37,30,26,24,34,29,22,29,26,30,22,20,25,28,27,30,35,34,32,39,34,29,28,27,29,24,25,33,27,25,37,36,26,24,32,30,32,26,25,24,23,33,1258,183,28,68,23,27,310,314,37,322,114,33,127,25,24,27,27,28,33,18,32,32,34,69,118,172,395,490,517,37,23
Tower of the Gods - Eastern Pot in Big Key Chest Room,0,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,51,101,48,54,46,51,59,50,51,44,41,38,48,48,44,31,45,52,34,37,28,40,57,48,31,34,38,53,41,44,48,34,37,45,46,42,42,52,33,37,25,36,33,47,50,47,46,36,47,38,40,32,40,1978,254,40,89,56,52,470,489,62,472,153,59,197,37,30,45,39,34,53,38,39,59,35,105,148,242,517,804,799,50,49
Tower of the Gods - Big Key Chest,20,67,25,120,27,28,32,150,25,0,0,22,0,31,51,46,46,23,42,32,39,9,4,5,11,11,0,0,0,150,74,19,0,0,0,0,0,990,0,0,0,0,20,27,24,21,15,60,60,23,46,29,24,27,37,43,37,45,31,53,37,40,30,35,34,26,32,44,33,37,28,36,39,37,40,30,26,35,33,34,29,21,31,27,40,34,42,22,41,37,28,35,27,42,40,26,31,28,37,24,37,36,1485,206,44,68,43,42,376,386,42,358,127,45,171,35,30,35,28,33,43,26,38,31,35,78,125,188,418,621,626,49,46
Tower of the Gods - Gohdan Heart Container,0,0,0,66,0,0,0,0,0,0,0,0,0,602,595,597,652,644,591,647,641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,27,32,20,22,21,17,36,24,29,20,24,23,21,26,29,16,19,19,24,18,26,20,24,24,30,26,18,27,22,20,20,22,23,23,20,21,30,20,18,25,16,19,23,17,20,26,18,24,24,21,21,15,18,992,125,22,46,34,30,216,231,20,283,76,27,97,19,16,15,17,26,18,23,21,21,19,48,78,132,271,391,400,23,17
Hyrule - Master Sword Chamber,1,83,7,139,23,19,9,170,8,2,2,1,0,0,0,0,0,0,0,0,0,6,4,4,7,3,3,5,4,223,53,12,0,0,0,0,0,0,0,0,0,0,22,18,20,17,16,58,55,38,85,37,32,37,46,45,33,46,44,44,35,53,41,29,46,54,36,46,30,40,42,34,30,42,47,48,48,31,48,40,51,34,37,34,44,45,28,44,43,31,48,41,33,33,35,39,45,41,43,35,38,47,1755,224,32,96,39,47,422,458,47,453,137,45,179,48,44,32,41,41,38,42,48,35,54,98,138,244,448,759,695,49,42
Forsaken Fortress - Phantom Ganon,51,119,50,153,54,66,52,193,47,52,0,74,72,34,30,26,25,39,31,34,38,25,31,26,26,33,27,19,17,247,144,49,0,0,0,0,0,0,0,0,0,0,48,50,47,40,55,75,127,24,71,44,42,36,31,35,32,31,28,36,42,39,29,38,28,33,46,42,35,36,36,38,35,24,37,34,24,33,23,30,39,40,37,39,38,45,39,34,38,28,32,40,38,30,37,34,34,37,39,31,38,26,1519,218,37,67,37,50,332,353,26,372,117,26,152,43,44,28,42,34,31,37,41,30,44,66,110,231,391,611,628,42,30
Forsaken Fortress - Chest Outside Upper Jail Cell,59,110,52,142,46,58,37,174,41,44,0,0,51,33,44,37,25,46,48,36,33,14,27,23,27,29,32,19,18,178,122,47,0,0,0,0,0,0,0,0,0,0,53,36,48,47,41,76,112,33,72,33,35,37,42,42,44,24,35,34,29,36,27,37,32,41,28,32,39,39,37,25,35,38,30,35,27,32,39,32,37,42,44,51,39,31,35,27,35,43,26,42,46,43,39,35,37,36,31,32,31,31,1543,180,35,75,42,37,368,360,36,380,139,46,156,34,39,34,37,41,50,31,33,30,53,85,133,205,435,637,662,50,35
Forsaken Fortress - Chest Inside Lower Jail Cell,49,103,48,165,45,59,44,173,50,49,0,0,40,49,41,32,35,36,33,33,35,35,30,34,27,32,32,37,24,152,136,63,0,0,0,0,0,0,0,0,0,0,43,47,36,57,40,84,122,36,61,37,34,35,32,27,31,31,34,31,35,34,32,37,31,44,36,24,35,42,35,38,36,35,45,35,28,33,26,35,35,31,35,39,39,33,24,37,29,37,35,41,31,37,33,41,48,32,40,37,31,49,1524,231,36,64,55,44,383,387,35,348,136,42,175,45,25,34,33,32,27,32,25,34,40,88,126,180,440,634,629,47,40
Forsaken Fortress - Chest Guarded By Bokoblin,61,108,61,164,52,55,56,195,39,46,0,0,64,41,35,40,41,56,52,30,39,27,33,30,26,31,24,30,29,181,106,48,0,0,0,0,0,0,0,0,0,0,30,46,44,56,43,70,104,36,63,33,22,35,28,36,33,32,41,43,40,47,36,38,38,48,41,36,40,31,35,52,37,40,26,34,32,35,20,39,33,30,29,31,40,38,21,44,32,30,38,32,29,34,32,35,46,38,38,27,31,41,1575,202,32,70,49,45,367,371,29,350,134,36,175,34,32,34,22,31,28,34,37,41,43,75,129,215,425,612,596,52,36
Forsaken Fortress - Chest on Bed,54,112,62,142,41,45,43,169,56,43,0,0,49,39,34,46,27,25,35,36,34,29,32,33,33,29,34,25,28,174,117,51,0,0,0,0,0,0,0,0,0,0,51,42,49,54,45,88,108,38,69,41,32,45,40,28,25,29,26,36,34,34,34,44,34,51,30,43,30,37,40,38,36,40,27,35,46,31,41,40,37,26,35,39,38,38,35,30,37,31,42,39,29,31,43,34,44,32,30,33,43,30,1596,216,33,66,48,38,389,345,40,372,117,41,183,36,33,35,28,27,31,28,31,30,34,94,126,216,407,625,598,49,44
Forsaken Fortress - Helmaroc King Heart Container,0,0,0,67,0,0,0,0,0,0,0,0,0,655,636,639,623,640,631,604,624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,23,50,18,25,21,14,20,20,22,24,21,22,22,15,24,21,18,15,20,18,21,17,21,27,19,14,15,14,18,23,26,24,27,21,13,25,25,20,34,22,17,29,27,18,18,25,21,25,26,19,21,27,18,930,131,18,43,22,30,247,225,24,209,96,29,118,17,26,22,24,18,18,25,16,21,29,54,77,156,259,400,387,16,21
Mother and Child Isles - Inside Mother Isle,125,182,138,166,138,149,100,188,144,148,142,149,110,46,43,40,48,47,55,47,51,216,246,227,241,234,248,267,243,179,168,144,0,0,0,0,0,0,0,0,0,0,126,149,134,113,128,152,166,17,38,18,16,23,20,27,21,27,13,22,17,25,17,16,20,15,27,16,19,24,27,23,17,21,24,18,20,21,19,25,21,25,20,17,15,21,17,22,17,17,25,16,27,25,18,21,29,21,14,22,13,17,835,107,28,40,13,25,228,192,24,198,70,17,109,26,16,18,22,20,21,16,16,22,22,46,67,128,256,315,337,19,17
Mother and Child Isles - Sunken Treasure,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,22,63,37,16,22,24,25,17,27,31,22,25,27,34,22,30,29,28,28,31,26,22,25,27,29,31,19,25,28,32,0,31,29,23,22,30,25,23,26,25,29,29,28,24,25,24,24,30,36,12,25,30,24,1226,174,26,50,0,0,515,0,0,0,0,0,0,22,30,26,32,24,25,25,31,26,0,0,534,1230,1819,2678,0,0,23
Fire Mountain - Cave - Chest,77,178,69,148,61,59,50,332,69,78,70,54,77,71,64,67,62,69,61,74,60,35,24,29,32,33,27,36,32,325,197,66,0,0,0,0,0,0,0,0,0,0,72,65,73,70,59,79,154,29,64,39,37,25,34,35,24,32,24,36,22,42,40,40,26,30,23,26,24,22,30,34,31,18,33,31,21,26,29,27,36,31,41,30,38,24,32,31,33,28,34,29,22,33,23,37,24,33,42,33,19,36,1296,188,34,54,32,33,293,329,35,328,107,34,126,31,25,29,25,26,30,40,37,23,31,81,107,160,366,560,573,34,32
Fire Mountain - Lookout Platform Chest,0,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,39,102,38,35,48,44,43,52,37,49,47,43,39,44,46,26,53,43,47,54,44,37,50,45,44,42,36,51,48,34,28,45,47,45,50,62,50,46,48,39,50,45,55,46,51,44,46,36,52,40,47,48,39,1894,269,53,88,70,41,479,495,48,484,154,51,191,32,35,35,48,34,45,46,52,50,59,107,145,262,498,783,779,49,46
